Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/8/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84,4.76,4.63,4.42,5.27,5.24,5.73,4.92,4.83,5.21,4.18,5.4,4.23,,,,
Africa Eastern and Southern,AFE,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.682103714,8.129353173,7.835015557,7.55511418,8.152093992,8.396117536,7.67755344,6.684625145,6.358179808,6.629145925,6.837665208,5.791328263,5.364924514,5.467116564,5.578908219,6.181869738,5.937758563,5.415113441,5.166184977,5.338798033,5.482121702,5.345388776,5.207496515,,,
Afghanistan,AFG,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.34,0.37,0.33,0.15,0,0.09,0.16,0.26,0.39,0.19,2.07,,,,,,
Africa Western and Central,AFW,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.881020694,3.155992794,3.347493242,4.06605578,,,4.993674968,3.64406273,5.831592885,4.697691425,4.722044926,3.410970537,3.797213765,2.865245227,2.99480683,3.279452478,3.439845778,2.955291855,2.798597916,3.192660323,2.937871035,,,,,
Angola,AGO,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51,,3,3.02,3.75,3.8,3.01,2.84,2.87,2.3,2.45,2.52,2.87,2.85,4.14,3.3,,,
Albania,ALB,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33,8.05,4.34,3.17,3.52,3.78,3.51,3.23,3.37,4.79,4.11,3.58,2.97,2.97,1.02,3.58,2.94,1.17,1.86,1.45,2.62,1.79,0.21,,,
Andorra,AND,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.81,10.63,11.9,12.22,14.05,,10.48,10.14,7.57,7.58,7.09,6.74,7.36,7.55,6.72,6.73,6.49,6.86,6.28,6.34,5.88,5.96,5.89,,,
Arab World,ARB,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.592057236,,5.08355931,4.708870445,,,,7.139190835,4.509764411,4.696322547,5.368738245,5.293890082,9.394776566,8.454879377,8.207518041,8.781006965,8.241060279,,,,
United Arab Emirates,ARE,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.08,,4.96,4.5,,,,10.99,3.3,4.38,4.9,5.54,17.19,13.3,11.99,13.26,12.24,,,,
Argentina,ARG,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.81,11.04,3.96,6.96,10.54,11.64,11.7,9.97,8.29,9.66,9.02,8.46,8.31,8.42,7.41,9.51,8.44,8.69,7.57,8.1,9.05,9.09,7.95,,,
